"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"nms10_c",101,339,0.533923303834808,0.499585277727033,1,0.542124542124542,0,0,1,1,-0.135405251515091,-1.98750217692122,0.0271337477077067
"nms11_c",102,339,0.300884955752212,0.459320744031076,0,0.252747252747253,0,0,1,1,0.864440314595613,-1.25642312619003,0.0249468784231568
"nms12_c",103,339,0.345132743362832,0.476114292586532,0,0.307692307692308,0,0,1,1,0.648627539547359,-1.5839285914468,0.0258589787790641
"nms13_c",104,339,0.179941002949853,0.384706138600748,0,0.102564102564103,0,0,1,1,1.65900586549451,0.754552359134635,0.0208943693334818
"nms14_c",105,339,0.103244837758112,0.304728177827922,0,0.00732600732600733,0,0,1,1,2.59631252909679,4.75489105526759,0.0165505627672434
"nms15_c",106,339,0.156342182890855,0.363716289667077,0,0.0732600732600733,0,0,1,1,1.88412829983117,1.5545512262783,0.0197543572258787
"nms16_c",107,339,0.480825958702065,0.5003707759322,0,0.476190476190476,0,0,1,1,0.0764132584222954,-2.00003474221553,0.0271764101140547
"nms17_c",108,339,0.469026548672566,0.499777402406116,0,0.461538461538462,0,0,1,1,0.123583355572682,-1.99057297167609,0.0271441824879195
"nms18_c",109,339,0.383480825958702,0.486952522579618,0,0.355311355311355,0,0,1,1,0.477153127981178,-1.77754230084998,0.026447630629592
"nms19_c",110,339,0.336283185840708,0.473135446080453,0,0.296703296703297,0,0,1,1,0.69000906635428,-1.52836987483545,0.0256971900451693
"nms20_c",111,339,0.321533923303835,0.467755569987241,0,0.278388278388278,0,0,1,1,0.760823128614782,-1.42532659096207,0.0254049952845949
"nms21_c",112,339,0.533923303834808,0.499585277727033,1,0.542124542124542,0,0,1,1,-0.135405251515091,-1.98750217692122,0.0271337477077067
"nms22_c",113,339,0.47787610619469,0.500248668331103,0,0.472527472527473,0,0,1,1,0.0881906658753766,-1.99809039920559,0.0271697781395168
"nms23_c",114,339,0.451327433628319,0.498360930774165,0,0.43956043956044,0,0,1,1,0.194754389772663,-1.96784951426715,0.0270672503091505
"nms24_c",115,339,0.634218289085546,0.482360651756281,1,0.666666666666667,0,0,1,1,-0.55486435073716,-1.69710568451887,0.0261982344404295
"nms25_c",116,339,0.253687315634218,0.435763937965879,0,0.194139194139194,0,0,1,1,1.12715200538433,-0.7316605682991,0.023667448341709
"nms26_c",117,339,0.144542772861357,0.352159038716437,0,0.0586080586080586,0,0,1,1,2.01277628447457,2.05736336905698,0.0191266535174827
"nms27_c",118,339,0.412979351032448,0.493096996037649,0,0.391941391941392,0,0,1,1,0.351914335658929,-1.88168090226444,0.0267813526186895
