"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"scm16wal",27,558,0.948028673835125,0.71341698249888,1,0.901785714285714,0,0,3,3,0.519608802370739,0.336553274868117,0.0302013491271502
"scm17han",28,558,1.19534050179211,0.748076990470127,1,1.17633928571429,0,0,3,3,0.437385292848228,0.0957697098664254,0.0316686242652088
"scm18dpr",29,558,0.50179211469534,0.816677825858094,0,0.325892857142857,0,0,3,3,1.61299677331506,1.7834669377953,0.0345727292007391
"scm19dsv",30,558,0.507168458781362,0.82103333560673,0,0.339285714285714,0,0,3,3,1.53135482803222,1.39819899864688,0.0347571126311482
"scm20fpr",31,558,0.754480286738351,0.84250183052628,1,0.649553571428571,1.4826,0,3,3,0.846488808888569,-0.149492371702463,0.0356659464915769
"scm21fsv",32,558,0.82078853046595,0.926450391888003,1,0.709821428571429,1.4826,0,3,3,0.766811991797636,-0.549848047542322,0.0392197724763842
"hy",33,558,2.42831541218638,0.915292593815473,2,2.38839285714286,1.4826,1,5,4,0.485090314769228,-0.0763408544278201,0.0387474252189663
"cisimot",34,558,2.78853046594982,1.19021036339129,3,2.77455357142857,1.4826,0,6,6,0.195420296444708,-0.395280256435959,0.0503856224358788
"cisidis",35,558,2.38172043010753,1.31671586205118,2,2.35714285714286,1.4826,0,6,6,0.25442138752566,-0.348046106976945,0.0557410272345552
"cisicomp",36,558,1.63978494623656,1.70993336888334,1,1.44419642857143,1.4826,0,6,6,0.671382034001623,-0.670101534981069,0.072387251670016
"cisicog",37,558,1.32616487455197,1.32415617440083,1,1.15625,1.4826,0,5,5,0.828226605695785,-0.144629347006788,0.0560560007723307
"d1-lightheaded",38,558,1.32974910394265,2.44557496731958,0,0.745535714285714,0,0,12,12,2.50470509300095,6.57181955043896,0.103529443812691
"d1-fainting",39,558,0.240143369175627,0.920366787912124,0,0,0,0,6,6,4.59823132916457,22.0293923964985,0.0389622329838657
"d2-drowsiness",40,558,2.10035842293907,2.97577892230961,0,1.50446428571429,0,0,12,12,1.64964496457835,2.3495507406632,0.12597476701927
"d2-fatigue",41,558,2.73476702508961,3.45807034113317,1,2.12053571428571,1.4826,0,12,12,1.25732451692604,0.623711437753988,0.146391790833168
"d2-insomnia",42,558,2.14516129032258,3.42009111333162,0,1.41964285714286,0,0,12,12,1.59209993068862,1.41463815422616,0.144784001915113
"d2-rls",43,558,1.20250896057348,2.57738977233154,0,0.537946428571429,0,0,12,12,2.56699308083207,6.35136673933773,0.109109609471699
