"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"scm6post",26,781,0.737516005121639,0.888091284469789,0,0.6176,0,0,3,3,0.909534568402608,-0.238966615784035,0.0317784046683684
"scm7gait",27,781,0.969270166453265,0.748727539361657,1,0.9264,0,0,3,3,0.452498659368857,-0.0756463660180273,0.0267915777896545
"scm8spee",28,781,0.880921895006402,0.714255696723551,1,0.824,0,0,3,3,0.535767420847529,0.205704521021566,0.0255580782787657
"scm9free",29,781,0.628681177976953,0.865520105688138,0,0.4896,0,0,3,3,1.13527572614031,0.18428707179465,0.0309707443909752
"scm10swa",30,781,0.443021766965429,0.660918619287173,0,0.3184,0,0,3,3,1.32725019978559,1.02881975128125,0.0236495275923199
"scm11spe",31,781,0.80921895006402,0.72904365136057,1,0.7408,1.4826,0,3,3,0.567365180496765,-0.106206428073741,0.0260872328993442
"scm12fee",32,781,0.895006402048656,0.752253473518401,1,0.8368,0,0,3,3,0.535197440676709,-0.0593839215124534,0.0269177456334634
"scm13dre",33,781,1.04481434058899,0.745440411967371,1,1.0112,0,0,3,3,0.447148962815465,0.0678690818990488,0.0266739551236529
"scm14hyg",34,781,0.982074263764405,0.731830370997077,1,0.9344,0,0,3,3,0.556884749742295,0.36312544458786,0.0261869495679512
"scm15cha",35,781,0.994878361075544,0.811756179009043,1,0.936,1.4826,0,3,3,0.526371257983762,-0.197381600818522,0.0290469198377494
"scm16wal",36,781,1.02176696542894,0.748185807159908,1,0.9792,0,0,3,3,0.515071995099359,0.191624970720687,0.0267721930873945
"scm17han",37,781,1.17797695262484,0.763142292395394,1,1.1568,0,0,3,3,0.397720720334806,-0.0342889808790168,0.0273073782069214
"scm18dpr",38,781,0.545454545454545,0.82713311150575,0,0.3824,0,0,3,3,1.43008726824665,1.16155975251768,0.0295971497431474
"scm19dsv",39,781,0.555697823303457,0.846430775249889,0,0.3952,0,0,3,3,1.37741372925485,0.871616554695683,0.0302876744429607
"scm20fpr",40,781,0.791293213828425,0.860069163776687,1,0.6928,1.4826,0,3,3,0.763483672785793,-0.371192217171745,0.0307756943539857
"scm21fsv",41,781,0.861715749039693,0.94940284936367,1,0.7488,1.4826,0,3,3,0.717790490139136,-0.65116988990765,0.0339723049510538
"hy",42,781,2.48271446862996,0.942593697530237,2,2.448,1.4826,1,5,4,0.485523300222362,-0.128204856097634,0.0337286543419383
"cisimot",43,781,2.81434058898848,1.20153714871737,3,2.7872,1.4826,0,6,6,0.244471021302795,-0.367518419975819,0.0429943795235128
"cisidis",44,781,2.4583866837388,1.33776390505522,2,2.3984,1.4826,0,6,6,0.353622707331884,-0.330461569990951,0.0478689561185846
"cisicomp",45,781,1.73623559539053,1.73710063945735,2,1.5488,2.9652,0,6,6,0.598655085088539,-0.779398597862515,0.0621583479487858
